System;ETD code;System code;Description;Country code;Country;Municipality code;Municipality;Territory code;Territory;Postal code;GPSX;GPSY;X;Y
GI-2634 ; 131 ; 1 ; [GI-2634] 131-ETD TOLOSA-ELGOIBAR, GI-2634 pk 28,800, GI-2634 pk 38,800 ; 108 ; España ; 17 ; AZKOITIA ; 20 ; Gipuzkoa ; 20720 ; 552423.44 ; 4783496.91 ; -2.354711 ; 43.202431 ; 
GI-2130 ; 132 ; 1 ; [GI-2130] 132-ETD NAVARRA-TOLOSA, GI-2130 pk 11,700, GI-2130 pk 16,100 ; 108 ; España ; 22 ; BERASTEGI ; 20 ; Gipuzkoa ; 20492 ; 583397.7 ; 4774934.1899999995 ; -1.974783 ; 43.122552 ; 
N-636 ; 133 ; 1 ; [N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000 ; 108 ; España ; 74 ; BERGARA ; 20 ; Gipuzkoa ; 20570 ; 541103.23 ; 4770895.88 ; -2.494053 ; 43.091808 ; 
A-15 ; 134 ; 1 ; [A-15] 134-ETD NAVARRA-ANDOAIN, A-15 pk 139,000, A-15 pk 156,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 580942.0 ; 4778272.0 ; -2.004769 ; 43.152889 ; 
GI-631 ; 158 ; 1 ; [GI-631] 158-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 13,500, GI-631 pk 19,000 ; 108 ; España ; 18 ; AZPEITIA ; 20 ; Gipuzkoa ; 20730 ; 557697.34 ; 4780424.82 ; -2.29012 ; 43.174385 ; 
N-I ; 168 ; 1 ; [N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900 ; 108 ; España ; 43 ; IDIAZABAL ; 20 ; Gipuzkoa ; 20213 ; 563592.6 ; 4764533.26 ; -2.219414 ; 43.030823 ; 
AP-636 ; 170 ; 1 ; [AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000 ; 108 ; España ; 19 ; BEASAIN ; 20 ; Gipuzkoa ; 20200 ; 560577.86 ; 4766245.85 ; -2.256469 ; 43.046628 ; 
GI-3630 ; 190 ; 1 ; [GI-3630] 190-ETD ASTEASU-ANOETA, GI-3630 pk 0,000, GI-3630 pk 9,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 574583.83 ; 4781960.7 ; -2.082172 ; 43.186735 ; 
GI-3420 ; 191 ; 1 ; [GI-3420] 191-ETD ALTO ARITXULEGI-OIARTZUN, GI-3420 pk 0,000, GI-3420 pk 8,700 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 594971.77 ; 4793249.65 ; -1.829381 ; 43.28608 ; 
GI-3591 ; 206 ; 1 ; [GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 546464.76 ; 4762176.93 ; -2.429839 ; 43.010845 ; 
GI-3711 ; 207 ; 1 ; [GI-3711] 207-ETD UGARTE-BEDAIO, GI-3711 pk 0,000, GI-3711 pk 6,900 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 578275.47 ; 4767708.9399999995 ; -2.038761 ; 43.058045 ; 
GI-11 ; 247 ; 1 ; [GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 579563.0 ; 4793248.0 ; -2.019279 ; 43.287852 ; 
GI-20 ; 248 ; 1 ; [GI-20] 248-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,200, GI-20 pk 13,800 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 579738.94 ; 4793592.05 ; -2.017061 ; 43.290931 ; 
GI-20 ; 249 ; 1 ; [GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 579205.64 ; 4793190.16 ; -2.023691 ; 43.287369 ; 
GI-20 ; 250 ; 1 ; [GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 579880.43 ; 4793998.79 ; -2.015258 ; 43.294578 ; 
GI-636 ; 252 ; 1 ; [GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500 ; 108 ; España ; 53 ; LEZO ; 20 ; Gipuzkoa ; 20100 ; 589716.5 ; 4796276.5 ; -1.893651 ; 43.313976 ; 
GI-636 ; 253 ; 1 ; [GI-636] 253-ETD IRUN-PASAIA, GI-636 pk 2,100, GI-636 pk 2,600 ; 108 ; España ; 67 ; ERRENTERIA ; 20 ; Gipuzkoa ; 20100 ; 588625.54 ; 4796821.73 ; -1.907013 ; 43.319014 ; 
GI-636 ; 256 ; 1 ; [GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300 ; 108 ; España ; 45 ; IRUN ; 20 ; Gipuzkoa ; 0 ; 600441.44 ; 4799746.72 ; -1.760788 ; 43.34386 ; 
AP-8 ; 257 ; 1 ; [AP-8] 257-ETD FRANCIA-BILBAO, AP-8 pk 0,000, AP-8 pk 0,500 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 601000.95 ; 4799271.85 ; -1.753974 ; 43.339511 ; 
GI-636-H ; 258 ; 1 ; [GI-636-H] 258-ETD HENDAIA-IRUN, GI-636-H pk 0,000, GI-636-H pk 0,500 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 598429.85 ; 4800257.89 ; -1.78551 ; 43.348729 ; 
A-15 ; 259 ; 1 ; [A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100 ; 108 ; España ; 40 ; HERNANI ; 20 ; Gipuzkoa ; 20120 ; 582630.0 ; 4790090.0 ; -1.981954 ; 43.259089 ; 
GI-20 ; 277 ; 1 ; [GI-20] 277-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 2,400, GI-20 pk 5,000 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 585778.0 ; 4795996.0 ; -1.942254 ; 43.31191 ; 
GI-2134 ; 284 ; 1 ; [GI-2134] 284-ETD IRUN-OIARTZUN, GI-2134 pk 7,000, GI-2134 pk 11,000 ; 108 ; España ; 45 ; IRUN ; 20 ; Gipuzkoa ; 0 ; 596298.97 ; 4799098.99 ; -1.811999 ; 43.338572 ; 
AP-636 ; 286 ; 1 ; [AP-636] 286-ETD BERGARA-BEASAIN, AP-636 pk 19,900, AP-636 pk 22,800 ; 108 ; España ; 74 ; BERGARA ; 20 ; Gipuzkoa ; 20570 ; 547305.46 ; 4772711.39 ; -2.418627 ; 43.105652 ; 
GI-40 ; 287 ; 1 ; [GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 585400.78 ; 4795380.65 ; -1.947001 ; 43.306412 ; 
N-121-A ; 288 ; 1 ; [N-121-A] 288-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 68,400, N-121-A pk 74,500 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 602668.42 ; 4795157.26 ; -1.734178 ; 43.302243 ; 
N-121-A ; 295 ; 1 ; [N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000 ; 108 ; España ; 45 ; IRUN ; 20 ; Gipuzkoa ; 0 ; 600553.92 ; 4799520.68 ; -1.759442 ; 43.341811 ; 
AP-636 ; 296 ; 1 ; [AP-636] 296-ETD BERGARA-BEASAIN, AP-636 pk 5,000, AP-636 pk 10,400 ; 108 ; España ; 62 ; ORMAIZTEGI ; 20 ; Gipuzkoa ; 20216 ; 557055.28 ; 4769626.13 ; -2.289843 ; 43.067759 ; 
GI-41 ; 302 ; 1 ; [GI-41] 302-ETD SAN SEBASTIÁN-A-15, GI-41 pk 0,000, GI-41 pk 1,400 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 584610.7 ; 4793770.74 ; -1.956989 ; 43.292008 ; 
A-15 ; 303 ; 1 ; [A-15] 303-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 166,100, A-15 pk 167,000 ; 108 ; España ; 40 ; HERNANI ; 20 ; Gipuzkoa ; 20120 ; 584443.42 ; 4790895.66 ; -1.959492 ; 43.266142 ; 
AP-636 ; 314 ; 1 ; [AP-636] 314-ETD BERGARA-BEASAIN, AP-636 pk 10,400, AP-636 pk 15,000 ; 108 ; España ; 80 ; ZUMARRAGA ; 20 ; Gipuzkoa ; 20700 ; 553770.38 ; 4770444.62 ; -2.313564 ; 43.077412 ; 
A-15 ; 315 ; 1 ; [A-15] 315-ETD SAN SEBASTIÁN-N-I BAZKARDO, A-15 pk 158,700, A-15 pk 162,100 ; 108 ; España ; 9 ; ANDOAIN ; 20 ; Gipuzkoa ; 20140 ; 580078.96 ; 4786639.97 ; -2.01388 ; 43.228302 ; 
GI-40 ; 316 ; 1 ; [GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 583479.0 ; 4794342.0 ; -1.97085 ; 43.297277 ; 
N-634 ; 317 ; 1 ; [N-634] 317-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 62,000, N-634 pk 65,900 ; 108 ; España ; 30 ; EIBAR ; 20 ; Gipuzkoa ; 20600 ; 541709.04 ; 4781142.86 ; -2.486768 ; 43.181901 ; 
AP-636 ; 318 ; 1 ; [AP-636] 318-ETD BERGARA-BEASAIN, AP-636 pk 15,000, AP-636 pk 19,900 ; 108 ; España ; 11 ; ANTZUOLA ; 20 ; Gipuzkoa ; 20577 ; 550445.42 ; 4771288.8100000005 ; -2.346622 ; 43.087691 ; 
GI-2132 ; 9101 ; 1 ; [GI-2132] 9101-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 0,500 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 580124.58 ; 4792157.23 ; -2.012516 ; 43.277971 ; 
GI-2132 ; 9136 ; 1 ; [GI-2132] 9136-ETD ERRENTERIA-ASTIGARRAGA, GI-2132 pk 15,200, GI-2132 pk 15,500 ; 108 ; España ; 63 ; OIARTZUN ; 20 ; Gipuzkoa ; 20180 ; 590635.36 ; 4795744.02 ; -1.882409 ; 43.309072 ; 
GI-631 ; 9157 ; 1 ; [GI-631] 9157-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 3,800, GI-631 pk 8,200 ; 108 ; España ; 27 ; ZESTOA ; 20 ; Gipuzkoa ; 20740 ; 559996.77 ; 4788856.73 ; -2.260914 ; 43.250126 ; 
GI-2632 ; 9159 ; 1 ; [GI-2632] 9159-ETD BEASAIN-BIZKAIA, GI-2632 pk 14,100, GI-2632 pk 17,200 ; 108 ; España ; 77 ; URRETXU ; 20 ; Gipuzkoa ; 20700 ; 553008.18 ; 4770764.28 ; -2.348733 ; 43.087742 ; 
GI-627 ; 9211 ; 1 ; [GI-627] 9211-ETD ARABA-EIBAR, GI-627 pk 51,400, GI-627 pk 56,300 ; 108 ; España ; 74 ; BERGARA ; 20 ; Gipuzkoa ; 20570 ; 547942.85 ; 4779948.64 ; -2.410168 ; 43.170779 ; 
GI-2630 ; 9259 ; 1 ; [GI-2630] 9259-ETD URRETXU-BERGARA, GI-2630 pk 0,200, GI-2630 pk 3,600 ; 108 ; España ; 51 ; LEGAZPI ; 20 ; Gipuzkoa ; 20230 ; 554510.32 ; 4769098.8 ; -2.330442 ; 43.072638 ; 
AP-636 ; 10169 ; 1 ; [AP-636] 10169-ETD BEASAIN-BERGARA, AP-636 pk 0,000, AP-636 pk 2,800 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 562393.75 ; 4766393.23 ; -2.233239 ; 43.048171 ; 
