Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-13;01:00:00 - 01:30:00;GI-2132;[GI-2132] 9136-ETD ERRENTERIA-ASTIGARRAGA, GI-2132 pk 15,200, GI-2132 pk 15,500;Lento ERRENTERIA;9;8;0;0;43,82;16;1;17;
2025-10-13;01:00:00 - 01:30:00;GI-2132;[GI-2132] 9136-ETD ERRENTERIA-ASTIGARRAGA, GI-2132 pk 15,200, GI-2132 pk 15,500;Lento ASTIGARRAGA;8;4;0;0;38,33;10;2;12;
2025-10-13;01:00:00 - 01:30:00;GI-631;[GI-631] 9157-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 3,800, GI-631 pk 8,200;Lento ZUMAIA;1;8;5;0;74,64;13;1;14;
2025-10-13;01:00:00 - 01:30:00;GI-631;[GI-631] 9157-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 3,800, GI-631 pk 8,200;Lento ZUMARRAGA;0;6;2;0;73,75;7;1;8;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 303-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 166,100, A-15 pk 167,000;Lento SAN SEBASTIÁN;0;10;50;3;96,35;37;26;63;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 303-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 166,100, A-15 pk 167,000;Central SAN SEBASTIÁN;0;0;3;1;110;4;0;4;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 103-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 12,500, GI-636 pk 15,300;Lento PTE. BEHOBIA;1;10;2;0;67,31;11;2;13;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 103-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 12,500, GI-636 pk 15,300;Lento PASAIA;0;22;7;0;73,45;28;1;29;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 303-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 166,100, A-15 pk 167,000;Central ANDOAIN;0;0;10;3;109,23;9;4;13;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 303-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 166,100, A-15 pk 167,000;Lento ANDOAIN;0;12;52;1;94,15;29;36;65;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 16-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 7,000, GI-20 pk 9,800;Central USURBIL, AP-8;0;0;3;0;100;3;0;3;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 16-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 7,000, GI-20 pk 9,800;Lento USURBIL, AP-8;0;12;36;0;91,25;42;6;48;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 16-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 7,000, GI-20 pk 9,800;Central ERRENTERIA,AP-8;0;0;2;0;100;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 16-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 7,000, GI-20 pk 9,800;Lento ERRENTERIA,AP-8;0;30;7;0;71,62;31;6;37;
2025-10-13;01:00:00 - 01:30:00;N-638;[N-638] 128-ETD HONDARRIBIA-IRUN, N-638 pk 0,000, N-638 pk 1,000;Lento IRUN;0;2;9;0;93,64;11;0;11;
2025-10-13;01:00:00 - 01:30:00;N-638;[N-638] 128-ETD HONDARRIBIA-IRUN, N-638 pk 0,000, N-638 pk 1,000;Lento HONDARRIBIA;0;5;1;0;70,83;5;1;6;
2025-10-13;01:00:00 - 01:30:00;GI-41;[GI-41] 302-ETD SAN SEBASTIÁN-A-15, GI-41 pk 0,000, GI-41 pk 1,400;Lento A-15;0;3;25;7;105;32;3;35;
2025-10-13;01:00:00 - 01:30:00;GI-41;[GI-41] 302-ETD SAN SEBASTIÁN-A-15, GI-41 pk 0,000, GI-41 pk 1,400;Central SAN SEBASTIÁN;0;0;2;1;113,33;3;0;3;
2025-10-13;01:00:00 - 01:30:00;GI-41;[GI-41] 302-ETD SAN SEBASTIÁN-A-15, GI-41 pk 0,000, GI-41 pk 1,400;Lento SAN SEBASTIÁN;0;5;29;3;98,51;34;3;37;
2025-10-13;01:00:00 - 01:30:00;GI-41;[GI-41] 302-ETD SAN SEBASTIÁN-A-15, GI-41 pk 0,000, GI-41 pk 1,400;Central A-15;0;0;0;1;140;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Central PASAIA;0;24;28;3;86,91;49;6;55;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Rápido PASAIA;0;0;2;0;100;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Rápido IRUN;0;0;4;0;100;4;0;4;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Lento PASAIA;1;11;1;0;64,62;12;1;13;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Lento IRUN;0;8;3;0;74,55;10;1;11;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100;Central IRUN;0;18;21;0;83,85;35;4;39;
2025-10-13;01:00:00 - 01:30:00;GI-631;[GI-631] 58-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 8,200, GI-631 pk 13,500;Lento ZUMARRAGA;0;5;2;0;75;6;1;7;
2025-10-13;01:00:00 - 01:30:00;GI-631;[GI-631] 58-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 8,200, GI-631 pk 13,500;Lento ZUMAIA;0;6;5;0;80,91;10;1;11;
2025-10-13;01:00:00 - 01:30:00;N-636;[N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000;Lento BERGARA;0;4;1;0;72;5;0;5;
2025-10-13;01:00:00 - 01:30:00;N-636;[N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000;Lento BIZKAIA;0;3;0;0;65;2;1;3;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Lento IRUN;6;2;0;0;35;8;0;8;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Central FRANCIA;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Lento FRANCIA;3;0;0;0;25;3;0;3;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Central ENLACE HOSPITAL;0;0;1;0;100;0;1;1;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Central A LA GI-20;0;0;1;0;100;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Lento A LA GI-20;0;4;3;0;80;7;0;7;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Lento ENLACE HOSPITAL;0;2;7;0;92,22;9;0;9;
2025-10-13;01:00:00 - 01:30:00;GI-2135;[GI-2135] 48-ETD NAVARRA-TOLOSA, GI-2135 pk 2,300, GI-2135 pk 11,200;Lento TOLOSA;0;1;0;0;65;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-2132;[GI-2132] 71-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 1,000, GI-2132 pk 2,500;Lento ASTIGARRAGA;0;5;0;0;65;5;0;5;
